Treatment ,Connectivity,Block,Plot,Collection.date,Year,Entomobryidae,Isotomidae,Sminthuridae,Tomoceridae,Acari,Formicidae,Lycosidae,Thomisidae,Linyphiidae,Salticidae,Gnaphosidae,Araneae.other,Staphylinidae,Carabidae,Circulionidae,Coleoptera.other,Chilopoda,Diplopoda,Isopoda,Opiliones,Total
Control,4,1,1,11/10/2021,2021,12,0,0,0,1,28,1,0,1,0,0,0,1,1,1,3,0,0,21,0,70
Control,4,1,2,9/27/2021,2021,8,0,0,1,0,0,16,0,0,0,0,0,1,0,0,0,0,0,24,0,50
Control ,4,1,3,9/27/2021,2021,40,0,0,0,1,12,0,0,0,0,0,0,2,0,0,0,0,0,2,0,57
Control,4,1,4,11/10/2021,2021,4,0,0,0,1,12,0,1,0,0,0,0,0,0,0,3,0,0,23,0,44
Control ,4,1,5,11/10/2021,2021,4,0,0,0,0,8,1,0,0,1,0,0,0,0,0,0,0,0,0,0,14
Control ,4,1,6,11/10/2021,2021,4,0,0,0,0,16,2,0,0,1,2,0,0,0,0,0,0,0,17,0,42
Control,4,1,7,11/3/2021,2021,32,0,2,3,0,24,1,0,0,0,1,0,0,0,0,0,0,0,24,0,87
Control,4,1,8,11/8/2021,2021,8,0,0,0,0,12,2,0,1,0,2,1,2,1,1,0,0,0,17,0,47
Control,4,1,9,9/22/2021,2021,4,0,0,0,0,4,1,0,0,0,0,0,1,0,0,1,0,0,2,0,13
Control ,4,2,1,9/14/2021,2021,132,1,0,4,1,60,0,0,0,0,0,0,2,0,0,1,0,0,27,0,228
Control,4,2,2,9/15/2021,2021,28,0,0,0,0,14,1,0,0,0,1,0,0,0,1,1,0,0,52,0,98
Control,4,2,3,9/13/2021,2021,60,1,2,3,0,68,0,0,0,0,3,4,2,1,1,4,0,1,72,0,222
Control,4,2,4,9/13/2021,2021,100,0,0,3,2,24,1,0,0,0,0,0,1,3,1,0,0,0,64,0,199
Control,4,2,5,9/13/2021,2021,84,0,1,10,0,8,1,0,0,0,1,1,0,1,1,0,0,0,54,0,162
Control,4,2,6,9/20/2021,2021,112,0,1,2,6,20,1,0,1,0,1,1,1,2,0,0,0,0,37,0,185
Control,4,2,7,9/15/2021,2021,24,0,0,0,0,28,0,0,0,0,0,1,1,0,1,3,0,3,17,0,78
Control,4,2,8,9/14/2021,2021,156,1,2,15,2,60,0,0,0,0,1,0,1,2,2,3,0,0,19,0,264
Control,4,2,9,9/15/2021,2021,20,0,0,0,5,20,0,0,0,0,0,0,0,0,0,2,0,0,19,0,66
Control,4,3,1,10/13/2021,2021,24,0,1,1,1,4,3,0,0,0,1,0,1,3,2,1,0,2,10,0,54
Control,4,3,2,10/13/2021,2021,96,0,0,6,1,20,1,0,0,0,0,1,0,1,0,0,0,1,48,0,175
Control,4,3,3,10/25/2021,2021,16,0,0,0,1,16,2,1,1,0,0,0,0,0,4,0,0,2,8,0,51
Control,4,3,4,10/22/2021,2021,4,1,0,0,1,16,1,1,0,0,1,0,1,1,0,2,0,0,4,0,33
Control,4,3,5,10/27/2021,2021,140,1,0,10,1,48,3,0,1,0,0,0,1,0,0,0,0,1,67,1,274
Control,4,3,6,10/27/2021,2021,44,4,0,0,6,36,1,1,5,0,1,0,1,7,0,4,0,0,7,0,117
Control,4,3,7,10/19/2021,2021,300,0,1,5,2,104,2,0,6,3,2,2,2,1,2,0,0,1,88,0,521
Control,4,3,8,11/1/2021,2021,0,0,1,1,0,40,2,0,0,0,0,1,0,0,0,1,0,1,25,0,72
Control,4,3,9,10/19/2021,2021,16,0,2,0,4,60,0,0,0,0,0,0,0,0,1,0,0,0,13,0,96
Control,4,4,1,10/26/2021,2021,160,1,0,22,2,72,1,0,0,0,2,3,1,0,2,3,0,0,94,0,363
Control,4,4,2,10/25/2021,2021,92,1,1,8,2,28,1,0,0,0,0,0,1,0,3,0,0,0,84,0,221
Control,4,4,3,10/25/2021,2021,260,0,0,13,2,116,1,1,2,0,1,0,1,1,2,1,0,0,64,0,465
Control,4,4,4,10/26/2021,2021,60,0,0,1,0,72,0,0,0,0,0,0,0,0,2,2,0,0,36,0,173
Control,4,4,5,10/25/2021,2021,20,1,0,0,0,36,1,0,0,0,0,2,0,1,6,1,0,2,21,0,91
Control,4,4,6,10/26/2021,2021,80,3,0,4,4,24,0,1,5,0,1,0,0,3,4,2,0,1,113,0,245
Control,4,4,7,10/22/2021,2021,320,2,1,16,1,52,0,0,0,0,0,0,0,0,1,5,0,0,34,0,432
Control,4,4,8,10/22/2021,2021,8,1,0,0,1,124,0,1,0,2,0,0,0,0,5,5,0,0,65,0,212
Control,4,4,9,10/22/2021,2021,12,1,0,0,1,20,0,0,0,0,1,1,0,1,2,6,0,0,5,0,50
Full connection,3,1,1,9/22/2021,2021,36,0,0,2,1,16,4,0,0,0,0,0,0,1,0,0,0,0,38,0,98
Full connection,3,1,2,9/27/2021,2021,12,1,1,0,3,4,1,0,0,0,1,0,0,1,0,1,0,0,2,0,27
Full connection,3,1,3,9/22/2021,2021,20,0,0,0,1,4,0,0,0,0,0,0,0,0,1,0,0,0,7,0,33
Full connection,3,1,4,9/22/2021,2021,4,0,0,0,2,4,0,0,0,0,0,0,0,1,1,0,0,1,10,0,23
Full connection,3,1,5,9/22/2021,2021,12,0,0,0,2,4,0,0,0,0,0,0,0,1,0,1,0,0,1,0,21
Full connection,3,1,6,9/22/2021,2021,8,0,0,2,1,0,1,0,0,0,1,0,0,1,1,3,0,0,11,0,29
Full connection,3,1,7,9/22/2021,2021,32,0,0,0,0,4,2,0,0,0,0,0,0,1,4,2,0,0,19,0,64
Full connection,3,1,8,9/27/2021,2021,0,0,0,0,1,12,0,0,0,0,0,0,1,2,0,4,0,0,6,0,26
Full connection,3,1,9,9/27/2021,2021,40,0,1,3,0,20,0,0,0,0,0,1,1,1,0,0,0,0,11,0,78
Full connection,3,2,1,9/15/2021,2021,12,0,0,0,0,12,1,0,0,0,0,0,1,0,1,2,0,1,9,0,39
Full connection,3,2,2,9/15/2021,2021,132,1,0,14,0,40,0,0,0,1,0,0,1,0,0,5,0,0,17,0,211
Full connection,3,2,3,9/15/2021,2021,28,0,0,1,3,40,2,0,0,0,1,1,1,0,0,0,0,0,30,0,107
Full connection,3,2,4,9/14/2021,2021,120,0,1,7,4,40,1,0,0,0,0,2,3,0,1,2,0,0,17,0,198
Full connection,3,2,5,9/13/2021,2021,292,3,0,4,3,108,0,0,0,1,3,3,4,1,2,5,0,0,7,0,436
Full connection,3,2,6,9/15/2021,2021,24,0,0,0,1,16,0,0,0,0,1,0,0,0,0,0,0,0,20,0,62
Full connection,3,2,7,9/20/2021,2021,56,0,1,0,4,20,0,0,0,0,0,0,0,5,1,0,0,0,48,0,135
Full connection,3,2,8,10/4/2021,2021,144,0,0,3,2,28,1,1,0,0,3,1,1,2,0,4,0,1,18,0,209
Full connection,3,2,9,9/27/2021,2021,180,0,2,2,2,8,0,0,0,0,0,0,1,1,0,6,0,0,18,0,220
Full connection,3,3,1,10/6/2021,2021,4,0,0,0,3,4,0,0,1,0,0,0,0,0,0,2,0,0,4,0,18
Full connection,3,3,2,9/20/2021,2021,4,1,0,0,8,28,1,0,0,1,2,1,0,0,0,0,0,1,4,0,51
Full connection,3,3,3,10/13/2021,2021,88,0,1,1,5,12,1,0,0,0,1,0,1,2,0,1,0,1,86,0,200
Full connection,3,3,4,10/6/2021,2021,4,0,1,0,2,0,0,0,1,0,0,0,0,0,1,0,0,1,17,0,27
Full connection,3,3,5,10/12/2021,2021,4,0,0,0,0,8,0,0,0,0,1,1,0,0,1,1,0,0,1,0,17
Full connection,3,3,6,10/12/2021,2021,12,0,0,1,4,60,1,1,0,0,1,0,1,0,1,1,0,0,29,0,112
Full connection,3,3,7,10/13/2021,2021,24,4,2,3,6,4,0,0,0,1,0,1,0,0,1,0,0,0,2,0,48
Full connection,3,3,8,10/13/2021,2021,4,0,1,2,1,20,1,0,0,0,2,0,0,0,1,0,0,0,12,0,44
Full connection,3,3,9,10/12/2021,2021,84,2,1,0,1,20,0,1,1,0,1,0,2,0,0,1,0,0,2,0,116
Full connection,3,4,1,11/20/2021,2021,26,0,0,3,0,12,1,0,0,0,0,1,0,1,0,0,0,0,100,0,144
Full connection,3,4,2,7/21/2021,2021,20,1,0,0,4,24,0,0,0,0,0,0,2,2,0,1,0,0,0,0,54
Full connection,3,4,3,7/21/2021,2021,24,0,0,0,0,12,0,0,0,0,0,0,1,2,0,1,1,0,18,0,59
Full connection,3,4,4,11/20/2021,2021,0,0,1,0,1,20,0,0,0,0,0,1,0,1,0,0,0,0,14,0,38
Full connection,3,4,5,11/17/2021,2021,12,0,0,1,0,16,1,0,0,0,0,0,1,0,0,2,0,0,6,0,39
Full connection,3,4,6,11/17/2021,2021,28,0,0,0,1,32,0,1,0,0,0,0,2,0,1,2,0,0,43,0,110
Full connection,3,4,7,11/17/2021,2021,24,0,1,0,0,28,0,0,0,0,0,0,0,0,0,2,0,1,46,0,102
Full connection,3,4,8,11/20/2021,2021,24,0,0,1,1,16,1,0,0,0,3,0,0,0,0,1,0,0,30,0,77
Full connection,3,4,9,7/21/2021,2021,28,0,0,0,0,24,0,0,0,0,0,0,1,0,0,1,0,0,45,0,99
No connection,1,1,1,8/25/2021,2021,12,0,1,0,0,8,3,0,8,0,0,2,0,0,0,1,0,0,12,0,47
No connection,1,1,2,8/24/2021,2021,24,0,0,0,0,12,0,0,1,0,0,0,0,2,1,0,0,0,1,0,41
No connection,1,1,3,9/3/2021,2021,0,0,0,0,0,8,0,0,0,0,0,0,1,0,0,0,0,0,2,0,11
No connection,1,1,4,8/24/2021,2021,8,0,0,0,0,4,0,0,0,0,0,0,0,2,0,3,0,0,0,0,17
No connection,1,1,5,9/3/2021,2021,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
No connection,1,1,6,9/3/2021,2021,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5
No connection,1,1,7,9/27/2021,2021,12,0,0,0,1,16,2,2,0,0,0,0,0,0,4,1,0,0,28,0,66
No connection,1,1,8,9/27/2021,2021,8,0,0,0,1,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,14
No connection,1,1,9,9/22/2021,2021,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,2,0,0,7,0,14
No connection,1,2,1,11/10/2021,2021,28,0,0,1,0,12,0,0,0,0,0,0,0,2,3,2,0,0,62,0,110
No connection,1,2,2,11/3/2021,2021,16,0,0,1,4,24,2,0,0,0,0,0,1,3,0,3,0,0,2,0,56
No connection,1,2,3,11/9/2021,2021,20,0,0,0,1,16,1,0,1,0,0,0,0,0,0,0,0,0,23,0,62
No connection,1,2,4,11/9/2021,2021,20,2,0,1,0,16,0,0,2,0,0,0,0,0,0,0,0,0,2,0,43
No connection,1,2,5,11/8/2021,2021,20,0,0,1,1,24,1,2,0,0,0,0,0,1,0,3,0,0,1,0,54
No connection,1,2,6,11/10/2021,2021,0,0,0,0,2,20,1,1,0,0,1,0,0,0,0,2,0,0,0,0,27
No connection,1,2,7,11/10/2021,2021,20,0,0,0,2,12,0,0,0,0,1,0,0,2,1,1,0,0,36,0,75
No connection,1,2,8,11/10/2021,2021,108,0,0,14,2,8,0,0,0,0,0,0,0,0,0,5,0,0,1,0,138
No connection,1,2,9,11/10/2021,2021,20,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,2,0,26
No connection,1,3,1,10/27/2021,2021,8,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,20
No connection,1,3,2,11/3/2021,2021,16,3,0,0,2,12,1,0,0,0,0,0,0,1,0,0,0,0,6,0,41
No connection,1,3,3,11/1/2021,2021,36,0,2,0,1,12,0,0,0,0,0,0,0,2,1,1,0,0,10,0,65
No connection,1,3,4,10/22/2021,2021,44,1,0,0,0,16,0,0,1,0,0,0,0,0,1,1,0,0,4,0,68
No connection,1,3,5,10/27/2021,2021,8,0,0,0,3,36,0,0,1,0,1,1,0,1,0,0,0,1,33,0,85
No connection,1,3,6,10/27/2021,2021,64,1,2,2,0,16,1,0,0,0,0,0,1,2,0,3,0,0,38,0,130
No connection,1,3,7,10/22/2021,2021,20,0,0,2,1,20,0,0,0,0,2,1,0,1,0,2,0,0,5,0,54
No connection,1,3,8,10/22/2021,2021,0,0,0,0,1,8,0,0,1,0,1,0,0,0,1,0,0,1,2,0,15
No connection,1,3,9,11/1/2021,2021,72,2,0,7,1,20,1,0,0,0,0,0,0,1,2,0,0,1,2,0,109
No connection,1,4,1,9/7/2021,2021,8,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,13,0,24
No connection,1,4,2,9/7/2021,2021,12,2,0,0,0,12,0,0,1,0,0,0,0,0,0,1,0,0,5,0,33
No connection,1,4,3,9/7/2021,2021,12,0,0,0,2,36,0,0,0,0,0,2,0,0,1,0,0,0,47,0,100
No connection,1,4,4,9/8/2021,2021,12,0,0,0,1,20,1,0,1,0,1,0,0,0,0,1,0,0,0,0,37
No connection,1,4,5,9/13/2021,2021,16,1,0,2,0,20,0,0,0,0,0,0,1,0,1,5,0,0,2,0,48
No connection,1,4,6,9/4/2021,2021,8,0,0,0,0,24,0,0,1,0,0,0,0,1,0,3,0,0,1,0,38
No connection,1,4,7,9/8/2021,2021,20,0,0,1,1,12,0,0,0,0,1,0,0,0,1,3,0,0,35,0,74
No connection,1,4,8,9/7/2021,2021,100,3,0,21,5,72,1,1,0,0,2,2,1,2,0,4,0,0,7,0,221
No connection,1,4,9,9/7/2021,2021,88,1,0,3,3,24,0,0,0,0,0,1,0,0,0,2,0,0,3,0,125
Partial connection,2,1,1,8/24/2021,2021,8,0,0,0,3,20,1,0,0,0,1,0,2,1,1,0,0,0,26,0,63
Partial connection,2,1,2,9/4/2021,2021,4,0,0,0,0,4,0,0,0,0,0,0,1,2,0,0,0,0,3,0,14
Partial connection,2,1,3,8/25/2021,2021,8,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10
Partial connection,2,1,4,9/3/2021,2021,20,0,1,9,20,0,0,0,0,0,0,0,3,1,3,15,0,0,47,0,119
Partial connection,2,1,5,9/3/2021,2021,48,1,4,1,1,24,1,0,0,0,4,2,2,1,2,2,0,0,14,0,107
Partial connection,2,1,6,9/3/2021,2021,4,0,0,0,1,12,0,0,0,0,0,0,0,1,0,1,0,0,19,0,38
Partial connection,2,1,7,8/24/2021,2021,60,1,0,2,4,36,0,0,0,0,0,0,1,1,1,1,0,0,45,0,152
Partial connection,2,1,8,8/25/2021,2021,168,0,0,0,0,52,1,1,0,0,1,1,0,3,0,0,0,0,61,0,288
Partial connection,2,1,9,9/3/2021,2021,32,0,0,2,1,12,0,1,0,0,1,2,1,0,1,1,0,1,21,0,76
Partial connection,2,2,1,10/6/2021,2021,176,1,1,11,4,20,0,0,0,0,0,0,3,3,0,4,0,1,17,0,241
Partial connection,2,2,2,10/6/2021,2021,216,3,1,6,1,32,2,0,0,0,0,2,3,1,0,8,0,1,53,0,329
Partial connection,2,2,3,10/4/2021,2021,136,1,4,2,3,36,1,0,0,2,2,0,0,0,1,0,0,0,108,0,296
Partial connection,2,2,4,9/20/2021,2021,112,2,1,0,3,4,0,0,1,0,0,0,0,1,0,1,0,0,14,0,139
Partial connection,2,2,5,9/20/2021,2021,128,0,3,2,0,8,2,0,0,0,2,0,0,1,1,3,0,0,15,0,165
Partial connection,2,2,6,10/4/2021,2021,148,0,0,2,1,24,0,0,0,0,3,1,6,3,1,3,0,0,43,0,235
Partial connection,2,2,7,10/5/2021,2021,280,2,1,3,3,16,0,0,1,0,0,0,2,4,2,0,0,1,62,0,377
Partial connection,2,2,8,10/4/2021,2021,36,0,3,3,2,16,1,0,0,0,1,1,4,1,2,1,0,1,19,0,91
Partial connection,2,2,9,10/5/2021,2021,56,0,2,0,2,8,1,0,0,0,2,1,1,0,1,1,0,2,32,0,109
Partial connection,2,3,1,10/13/2021,2021,8,0,0,1,1,12,0,0,0,0,0,1,4,1,0,3,0,0,5,0,36
Partial connection,2,3,2,11/3/2021,2021,104,0,0,6,1,4,2,0,4,0,3,1,3,2,1,2,0,0,27,0,160
Partial connection,2,3,3,10/22/2021,2021,8,1,0,0,6,24,0,1,0,0,1,1,0,1,0,3,0,0,63,0,109
Partial connection,2,3,4,10/26/2021,2021,28,0,0,0,0,28,0,1,3,0,0,1,2,0,3,0,0,0,2,0,68
Partial connection,2,3,5,10/27/2021,2021,0,0,0,0,1,12,0,0,0,0,0,0,0,2,0,0,0,0,0,0,15
Partial connection,2,3,6,10/27/2021,2021,16,1,0,1,0,12,0,0,0,0,0,0,0,2,0,0,0,0,4,0,36
Partial connection,2,3,7,10/12/2021,2021,116,0,1,0,10,32,1,0,0,0,0,0,1,2,1,3,0,0,10,0,177
Partial connection,2,3,8,10/27/2021,2021,16,2,0,0,0,4,0,0,0,0,0,0,0,2,0,1,0,0,1,0,26
Partial connection,2,3,9,11/1/2021,2021,0,0,1,6,1,8,0,0,1,0,0,0,0,0,0,1,0,0,5,0,23
Partial connection,2,4,1,9/4/2021,2021,100,5,1,10,3,68,0,0,0,0,4,1,4,1,3,1,0,1,42,0,244
Partial connection,2,4,2,11/17/2021,2021,100,3,0,0,2,24,3,0,0,0,3,0,2,1,1,2,0,3,94,0,238
Partial connection,2,4,3,9/8/2021,2021,8,0,0,0,0,12,0,0,0,0,1,0,0,0,0,0,0,1,48,0,70
Partial connection,2,4,4,7/21/2021,2021,16,0,0,0,0,68,1,0,0,0,0,0,0,1,0,1,0,0,29,0,116
Partial connection,2,4,5,11/20/2021,2021,8,0,0,0,2,56,2,0,0,0,0,0,0,3,2,5,0,0,12,0,90
Partial connection,2,4,6,11/10/2021,2021,40,3,0,1,0,28,0,0,0,1,2,0,3,2,1,3,0,1,59,0,144
Partial connection,2,4,7,7/21/2021,2021,84,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,107
Partial connection,2,4,8,7/21/2021,2021,16,4,0,0,0,40,0,0,0,0,1,1,0,2,0,0,0,0,12,0,76
Partial connection,2,4,9,11/20/2021,2021,68,0,0,0,1,16,1,0,0,0,0,0,3,1,3,1,0,0,47,0,141
Control,4,1,2,8/10/2020,2020,320,0,0,40,1,24,6,1,0,0,0,0,9,4,0,1,0,0,15,0,421
Control,4,1,3,8/10/2020,2020,324,0,0,6,8,98,7,0,1,0,4,0,10,5,0,1,0,0,18,0,482
Control,4,1,4,8/10/2020,2020,520,0,0,40,1,152,0,1,1,0,0,0,3,2,0,1,0,0,10,0,731
Full connection,3,1,1,8/10/2020,2020,168,0,0,0,0,17,0,0,2,0,0,0,0,2,0,0,0,0,0,0,189
Full connection,3,1,2,8/10/2020,2020,208,0,0,7,0,35,4,0,0,0,0,0,2,2,0,0,0,0,0,2,260
Full connection,3,1,3,8/10/2020,2020,424,0,0,32,0,32,8,0,1,0,1,0,3,0,1,0,0,0,0,0,502
No connection,1,1,1,8/10/2020,2020,672,16,0,40,0,14,16,0,0,0,0,0,3,5,0,1,0,0,0,1,768
No connection,1,1,2,8/10/2020,2020,248,0,0,8,0,160,19,0,3,0,0,0,10,5,0,0,0,2,0,0,455
No connection,1,1,3,8/10/2020,2020,384,0,0,0,0,9,20,0,1,0,1,0,3,3,0,0,0,1,2,0,424
No connection,1,1,4,8/10/2020,2020,504,0,0,0,0,61,4,1,1,0,0,0,3,3,0,0,0,0,1,0,578
Partial connection,2,1,1,8/10/2020,2020,200,0,0,0,0,36,10,0,0,0,0,0,3,0,0,2,0,1,5,1,258
Partial connection,2,1,2,8/10/2020,2020,116,0,0,0,0,48,5,1,0,0,0,0,3,0,1,0,0,1,0,0,175
Partial connection,2,1,3,8/10/2020,2020,224,14,2,0,0,124,19,0,0,0,1,0,9,2,0,1,0,0,8,0,404
Partial connection,2,1,4,8/10/2020,2020,352,0,0,16,1,10,0,0,13,0,0,0,10,3,0,0,0,0,3,5,413
Control,4,2,1,8/10/2020,2020,192,0,0,0,0,144,2,0,2,0,1,0,28,5,1,0,0,1,0,0,376
Control,4,2,2,8/10/2020,2020,104,0,0,8,0,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,132
Control,4,2,3,8/10/2020,2020,304,0,8,16,0,40,7,1,0,0,0,0,4,1,0,2,0,0,0,0,383
Control,4,2,4,8/10/2020,2020,142,2,0,4,2,96,3,0,0,0,0,0,3,1,0,1,0,2,4,0,260
Full connection,3,2,1,8/10/2020,2020,160,0,0,24,2,344,8,0,0,0,1,0,2,2,0,2,0,0,11,0,556
Full connection,3,2,2,8/10/2020,2020,228,1,0,7,1,212,7,0,0,0,0,0,0,5,2,2,0,1,7,0,473
Full connection,3,2,3,8/10/2020,2020,248,0,0,64,0,17,1,0,1,0,0,0,9,2,0,1,0,0,0,0,343
Full connection,3,2,4,8/10/2020,2020,360,0,0,8,0,176,2,0,0,0,0,0,1,0,0,1,0,0,0,1,549
No connection,1,2,1,8/10/2020,2020,160,4,0,8,4,49,9,1,0,0,0,0,2,0,1,1,0,2,0,0,241
No connection,1,2,2,8/10/2020,2020,693,0,0,36,0,47,9,1,1,0,1,0,4,0,0,0,0,3,1,0,796
No connection,1,2,3,8/10/2020,2020,116,0,0,18,0,50,0,0,0,0,0,0,1,2,0,0,0,0,1,0,188
No connection,1,2,4,8/10/2020,2020,98,0,9,62,0,66,1,3,0,0,1,0,4,1,0,0,0,0,1,0,246
Partial connection,2,2,1,8/10/2020,2020,57,0,0,0,0,22,0,1,0,0,0,0,2,0,0,0,0,2,2,1,87
Partial connection,2,2,2,8/10/2020,2020,29,0,2,17,1,9,1,0,0,0,0,0,2,0,0,0,0,0,0,0,61
Partial connection,2,2,3,8/10/2020,2020,33,0,1,20,0,6,0,0,1,0,0,0,1,1,0,0,0,4,3,0,70
Partial connection,2,2,4,8/10/2020,2020,43,0,0,12,0,6,0,3,0,0,0,0,0,0,0,1,0,1,1,0,67
Control,4,3,1,8/10/2020,2020,576,0,0,8,0,50,6,1,0,0,1,0,11,1,0,2,0,0,5,3,664
Control,4,3,3,8/10/2020,2020,208,0,0,0,8,96,3,3,3,0,1,0,11,2,0,0,0,0,13,0,348
Control,4,3,4,8/10/2020,2020,514,0,8,16,0,200,3,1,0,0,0,0,10,3,0,0,0,2,6,0,763
Full connection,3,3,1,8/10/2020,2020,168,0,0,8,0,50,4,0,0,0,0,0,10,1,0,4,0,1,17,0,263
Full connection,3,3,2,8/10/2020,2020,154,0,0,0,3,172,7,0,1,0,1,0,4,0,0,1,0,0,0,0,343
Full connection,3,3,3,8/10/2020,2020,264,0,0,24,1,50,2,1,0,0,1,0,17,4,0,0,0,3,8,0,375
Full connection,3,3,4,8/10/2020,2020,664,0,0,0,1,58,3,1,2,0,0,0,13,2,2,1,0,0,2,1,750
No connection,1,3,1,8/10/2020,2020,200,0,0,16,0,0,6,0,2,0,1,0,0,3,0,0,0,0,0,5,233
No connection,1,3,2,8/10/2020,2020,168,0,0,0,0,43,0,1,0,0,1,0,1,5,0,1,0,0,0,2,222
No connection,1,3,3,8/10/2020,2020,192,8,0,8,0,0,0,1,1,0,2,0,0,2,1,0,0,1,3,3,222
No connection,1,3,4,8/10/2020,2020,344,0,0,48,0,76,7,0,2,0,0,0,22,8,0,1,0,1,7,0,516
Partial connection,2,3,1,8/10/2020,2020,196,3,0,0,0,156,11,0,1,0,0,2,8,9,0,1,0,2,6,3,398
Partial connection,2,3,2,8/10/2020,2020,0,0,0,0,1,33,0,0,0,0,0,0,0,3,0,0,0,0,2,3,42
Partial connection,2,3,3,8/10/2020,2020,208,1,0,3,2,184,12,0,0,0,1,0,6,2,0,0,0,3,9,2,433
Partial connection,2,3,4,8/10/2020,2020,196,0,0,0,0,51,2,1,1,0,0,0,9,1,0,1,0,1,3,2,268
Control,4,4,1,8/10/2020,2020,356,0,0,44,0,142,2,1,0,0,0,0,0,16,1,0,0,1,8,1,572
Control,4,4,2,8/10/2020,2020,471,0,0,18,1,151,7,0,0,0,0,0,7,7,0,0,0,0,3,3,668
Control,4,4,3,8/10/2020,2020,276,9,0,9,1,80,0,0,0,1,1,0,29,4,0,0,0,0,1,0,411
Control,4,4,4,8/10/2020,2020,640,0,0,53,1,578,2,0,3,0,2,0,8,2,0,0,0,1,16,0,1306
Full connection,3,4,1,8/10/2020,2020,96,0,0,0,0,140,1,0,0,0,0,0,7,2,0,0,0,5,0,0,251
Full connection,3,4,3,8/10/2020,2020,30,4,0,4,0,25,1,1,0,0,0,0,0,1,0,1,0,0,1,0,68
Full connection,3,4,4,8/10/2020,2020,14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
No connection,1,4,1,8/10/2020,2020,613,9,0,18,0,151,7,1,0,0,0,1,0,3,2,0,0,0,6,2,813
No connection,1,4,2,8/10/2020,2020,960,0,0,36,0,169,7,2,1,0,0,0,0,0,0,0,0,0,12,0,1187
No connection,1,4,3,8/10/2020,2020,160,0,0,0,0,408,6,0,1,0,2,0,2,4,0,0,0,0,0,2,585
No connection,1,4,4,8/10/2020,2020,218,0,0,2,10,160,4,1,0,0,1,1,14,2,0,0,0,0,0,0,413
Partial connection,2,4,1,8/10/2020,2020,427,0,0,18,0,258,1,1,3,0,0,0,0,2,0,1,0,2,39,1,753
Partial connection,2,4,2,8/10/2020,2020,46,1,1,0,3,19,2,1,0,0,0,1,4,1,0,0,0,0,0,0,79
Partial connection,2,4,4,8/10/2020,2020,206,0,0,1,0,124,12,0,0,0,0,1,9,1,0,0,0,1,3,0,358
