Treatment,Block,Trap,Year,Diptera,Coleoptera,Auchenorrhyncha,Hymenoptera,Lepidoptera,Heteroptera,Hemiptera,Mecoptera,Arthropod.other,Total
Control,1,1,2020,35,2,12,6,1,0,0,2,0,58
Control,1,2,2020,74,1,4,7,1,0,0,7,0,94
Control,1,3,2020,26,0,5,2,1,0,0,9,0,43
Control,1,4,2020,27,1,9,6,2,0,0,9,0,54
Control,1,5,2020,31,0,34,2,0,0,0,1,0,68
Control,1,6,2020,62,0,33,4,0,0,0,2,0,101
Control,1,7,2020,24,3,6,4,2,0,0,2,0,41
Control,1,8,2020,16,1,5,5,4,0,0,5,1,37
Control,1,9,2020,16,1,11,8,3,0,0,1,0,40
Control,2,1,2020,25,1,8,4,1,0,0,0,0,39
Control,2,2,2020,29,3,38,3,3,0,0,0,0,76
Control,2,3,2020,23,1,3,5,1,0,0,11,0,44
Control,2,4,2020,22,2,26,7,5,0,0,0,0,62
Control,2,5,2020,25,1,25,9,0,0,0,2,0,62
Control,2,6,2020,58,2,36,7,6,0,0,10,0,119
Control,2,7,2020,28,3,6,1,3,0,0,10,0,51
Control,2,8,2020,27,0,7,5,2,0,0,1,0,42
Control,2,9,2020,27,1,11,3,3,1,0,3,0,49
Control,3,1,2020,52,1,22,5,2,0,0,2,0,84
Control,3,2,2020,38,3,9,5,1,0,0,1,0,57
Control,3,3,2020,34,0,6,3,3,0,0,0,0,46
Control,3,4,2020,58,1,17,5,1,0,0,2,0,84
Control,3,5,2020,34,0,10,6,4,0,0,0,1,55
Control,3,6,2020,59,0,14,2,6,0,0,0,0,81
Control,3,7,2020,36,0,25,7,2,0,0,4,0,74
Control,3,8,2020,27,0,11,4,0,0,0,6,0,48
Control,3,9,2020,34,1,21,1,2,0,0,0,0,59
Control,4,1,2020,40,4,11,7,3,0,0,2,0,67
Control,4,2,2020,43,1,15,7,0,0,0,6,0,72
Control,4,3,2020,53,1,3,6,4,0,0,2,0,70
Control,4,5,2020,63,1,24,4,4,0,0,0,1,97
Control,4,6,2020,29,1,15,3,0,0,0,3,0,51
Control,4,7,2020,40,0,10,2,7,0,0,2,0,61
Control,4,8,2020,38,0,29,2,5,0,0,4,0,78
Control,4,9,2020,37,2,4,2,3,0,0,1,0,49
Full.connection,1,1,2020,88,4,11,14,0,0,0,1,0,118
Full.connection,1,2,2020,76,0,16,13,2,0,0,1,1,109
Full.connection,1,3,2020,44,1,6,7,0,0,0,1,0,59
Full.connection,1,4,2020,62,0,11,7,2,0,0,0,0,82
Full.connection,1,5,2020,72,1,12,6,1,0,0,0,0,92
Full.connection,1,6,2020,52,0,22,8,1,0,1,3,1,88
Full.connection,1,7,2020,70,4,18,3,2,0,0,3,0,100
Full.connection,1,8,2020,26,2,27,4,5,0,0,0,0,64
Full.connection,1,9,2020,51,2,12,5,3,0,0,2,0,75
Full.connection,2,1,2020,36,2,16,2,2,0,0,4,0,62
Full.connection,2,2,2020,25,1,10,3,2,0,0,0,0,41
Full.connection,2,3,2020,25,0,5,1,0,0,0,2,0,33
Full.connection,2,4,2020,34,0,48,6,3,0,0,2,0,93
Full.connection,2,5,2020,3,1,13,0,1,0,0,0,0,18
Full.connection,2,6,2020,16,0,62,3,0,0,0,0,0,81
Full.connection,2,7,2020,41,1,48,3,3,0,0,5,0,101
Full.connection,2,8,2020,25,2,31,0,1,0,0,1,1,61
Full.connection,2,9,2020,18,1,8,3,0,0,0,4,0,34
Full.connection,3,1,2020,35,0,13,9,3,0,0,0,0,60
Full.connection,3,2,2020,79,1,7,14,3,0,0,2,0,106
Full.connection,3,3,2020,48,4,22,4,1,0,0,2,0,81
Full.connection,3,4,2020,88,3,14,5,7,0,0,1,0,118
Full.connection,3,5,2020,36,3,11,5,3,0,0,0,0,58
Full.connection,3,6,2020,108,4,2,2,1,0,0,0,0,117
Full.connection,3,7,2020,37,3,7,2,1,0,0,0,0,50
Full.connection,3,8,2020,35,2,4,4,2,0,0,0,0,47
Full.connection,3,9,2020,54,4,7,4,1,0,0,1,0,72
Full.connection,4,1,2020,37,2,14,5,1,0,0,5,0,64
Full.connection,4,2,2020,91,4,11,4,2,0,0,3,0,115
Full.connection,4,3,2020,49,0,17,2,2,0,0,5,0,75
Full.connection,4,4,2020,74,4,32,4,4,0,0,4,0,122
Full.connection,4,5,2020,43,1,49,4,1,0,0,1,0,99
Full.connection,4,6,2020,64,1,17,7,2,0,0,8,0,99
Full.connection,4,7,2020,80,2,30,8,6,0,0,1,0,127
Full.connection,4,9,2020,55,1,18,7,3,0,0,3,0,87
No.connection,1,1,2020,111,6,36,13,6,0,0,5,0,177
No.connection,1,2,2020,47,0,8,1,2,0,0,1,0,59
No.connection,1,3,2020,146,3,47,17,2,0,0,4,0,219
No.connection,1,4,2020,103,3,12,3,5,0,0,0,0,126
No.connection,1,5,2020,85,0,10,6,1,0,0,0,0,102
No.connection,1,6,2020,144,1,1,3,1,0,0,0,2,152
No.connection,1,7,2020,114,2,15,7,2,0,0,3,0,143
No.connection,1,8,2020,75,2,4,9,3,0,0,0,0,93
No.connection,1,9,2020,120,2,13,7,0,0,0,2,0,144
No.connection,2,1,2020,17,3,8,9,1,0,0,7,0,45
No.connection,2,2,2020,24,1,10,9,1,0,0,0,0,45
No.connection,2,3,2020,18,0,0,4,5,0,0,7,0,34
No.connection,2,4,2020,30,1,61,8,2,0,0,0,0,102
No.connection,2,5,2020,57,1,19,4,1,0,0,0,0,82
No.connection,2,6,2020,44,2,55,0,1,0,0,2,0,104
No.connection,2,7,2020,30,1,10,1,0,0,0,6,1,49
No.connection,2,8,2020,21,13,46,4,3,0,0,3,0,90
No.connection,2,9,2020,20,3,26,3,1,0,0,1,0,54
No.connection,3,1,2020,18,3,4,3,2,0,0,2,0,32
No.connection,3,2,2020,11,3,19,6,3,0,0,0,0,42
No.connection,3,3,2020,29,3,22,7,5,0,0,2,0,68
No.connection,3,4,2020,47,0,2,2,1,0,0,1,3,56
No.connection,3,5,2020,43,1,9,6,0,0,0,0,0,59
No.connection,3,6,2020,17,0,13,4,0,0,0,0,0,34
No.connection,3,7,2020,21,1,37,0,1,0,0,1,0,61
No.connection,3,8,2020,10,0,10,4,0,0,0,1,0,25
No.connection,3,9,2020,37,1,14,5,1,0,0,1,0,59
No.connection,4,1,2020,54,1,11,7,0,0,0,0,0,73
No.connection,4,2,2020,33,4,1,3,1,0,0,0,0,42
No.connection,4,3,2020,50,3,0,6,1,0,0,1,0,61
No.connection,4,4,2020,24,1,14,1,2,0,0,0,0,42
No.connection,4,5,2020,27,1,6,8,0,0,0,0,0,42
No.connection,4,6,2020,73,1,3,9,2,0,0,1,0,89
No.connection,4,7,2020,26,4,8,10,0,0,0,1,1,50
No.connection,4,8,2020,13,3,1,3,0,0,0,0,0,20
No.connection,4,9,2020,56,0,9,6,0,0,0,0,0,71
Partial.connection,1,1,2020,197,7,29,15,5,0,0,10,0,263
Partial.connection,1,2,2020,104,1,7,10,1,0,0,3,0,126
Partial.connection,1,3,2020,128,5,26,5,4,0,0,2,0,170
Partial.connection,1,4,2020,122,6,20,7,2,0,0,1,0,158
Partial.connection,1,5,2020,89,1,35,3,3,0,0,2,0,133
Partial.connection,1,6,2020,83,4,30,8,6,0,0,4,0,135
Partial.connection,1,7,2020,160,5,23,4,4,0,0,5,0,201
Partial.connection,1,8,2020,75,2,15,6,6,0,0,2,0,107
Partial.connection,1,9,2020,151,5,23,3,5,0,0,3,0,190
Partial.connection,2,1,2020,43,0,21,7,1,0,0,6,0,78
Partial.connection,2,2,2020,18,6,69,4,1,0,0,7,0,105
Partial.connection,2,3,2020,31,1,7,1,1,1,0,1,0,43
Partial.connection,2,4,2020,88,0,55,4,3,0,0,5,0,155
Partial.connection,2,5,2020,15,0,10,2,0,0,0,0,0,27
Partial.connection,2,6,2020,9,1,2,6,0,0,0,1,0,19
Partial.connection,2,7,2020,43,1,18,3,1,0,0,19,0,85
Partial.connection,2,8,2020,21,2,20,3,2,0,0,0,0,48
Partial.connection,2,9,2020,2,0,7,5,1,0,0,3,0,18
Partial.connection,3,1,2020,62,1,8,13,5,0,0,0,1,90
Partial.connection,3,2,2020,37,0,11,7,1,0,0,3,0,59
Partial.connection,3,3,2020,71,4,12,19,2,0,0,0,0,109
Partial.connection,3,4,2020,43,1,5,4,2,0,0,0,0,55
Partial.connection,3,5,2020,24,2,11,7,0,0,0,2,0,46
Partial.connection,3,6,2020,45,0,5,8,0,0,0,1,0,59
Partial.connection,3,7,2020,51,4,11,6,2,0,0,1,0,75
Partial.connection,3,8,2020,28,2,10,2,3,0,0,0,0,45
Partial.connection,3,9,2020,61,3,6,11,4,0,0,3,0,88
Partial.connection,4,1,2020,40,1,0,5,3,0,0,3,0,52
Partial.connection,4,2,2020,27,3,0,4,3,0,0,0,0,37
Partial.connection,4,3,2020,61,2,11,7,4,0,0,4,0,89
Partial.connection,4,4,2020,74,3,5,4,1,0,0,0,0,87
Partial.connection,4,5,2020,57,0,8,8,5,0,0,0,0,78
Partial.connection,4,6,2020,72,3,13,4,1,0,0,0,0,93
Partial.connection,4,7,2020,77,3,8,8,1,0,0,0,0,97
Partial.connection,4,8,2020,27,1,8,6,4,0,0,0,0,46
Control,1,1,2021,34,14,29,11,1,1,0,1,0,91
Control,1,2,2021,62,9,37,11,3,2,0,0,0,124
Control,1,3,2021,12,5,8,6,4,2,0,0,0,37
Control,1,4,2021,24,10,5,3,0,0,0,0,0,42
Control,1,5,2021,42,13,27,10,9,1,0,0,0,102
Control,1,6,2021,26,9,29,10,2,0,0,0,1,77
Control,1,7,2021,29,2,14,4,5,0,0,0,0,54
Control,1,8,2021,43,7,12,4,2,1,0,0,0,69
Control,1,9,2021,50,10,34,6,4,3,0,0,0,108
Control,2,1,2021,53,7,36,9,2,1,0,0,0,108
Control,2,2,2021,39,18,19,6,5,1,0,1,0,89
Control,2,3,2021,28,22,15,6,5,1,0,0,0,77
Control,2,4,2021,8,15,9,5,0,1,0,0,0,39
Control,2,5,2021,58,14,23,11,1,2,0,0,0,109
Control,2,6,2021,39,12,22,7,0,0,0,0,0,80
Control,2,7,2021,19,20,7,12,1,0,0,0,0,59
Control,2,8,2021,27,19,34,8,5,2,0,0,0,95
Control,2,9,2021,17,6,12,5,1,0,0,0,0,41
Control,3,1,2021,21,8,5,1,2,1,0,0,0,38
Control,3,2,2021,37,7,26,10,1,0,0,0,0,81
Control,3,3,2021,74,10,30,6,2,1,0,0,0,123
Control,3,4,2021,65,4,24,6,3,5,0,0,0,107
Control,3,5,2021,37,6,11,4,1,1,0,0,0,60
Control,3,6,2021,25,6,8,7,0,0,0,0,0,46
Control,3,7,2021,20,4,18,6,0,0,0,0,0,48
Control,3,8,2021,26,3,15,4,0,0,0,0,0,48
Control,3,9,2021,35,12,13,8,1,0,0,0,0,69
Control,4,1,2021,26,7,19,9,1,0,0,0,0,62
Control,4,2,2021,21,7,10,7,5,1,0,0,0,52
Control,4,3,2021,40,14,16,11,3,0,0,0,0,84
Control,4,4,2021,50,5,25,8,2,1,1,0,0,92
Control,4,5,2021,67,7,27,11,2,2,0,0,0,116
Control,4,6,2021,40,7,15,5,4,1,0,0,0,72
Control,4,7,2021,38,3,9,6,7,2,0,0,0,65
Control,4,8,2021,35,9,16,9,2,0,0,0,0,71
Control,4,9,2021,45,9,28,10,3,8,0,0,0,103
Full.connection,1,1,2021,47,1,26,4,1,1,0,0,1,83
Full.connection,1,2,2021,58,17,25,6,3,1,0,0,0,110
Full.connection,1,3,2021,45,9,21,6,1,0,0,0,0,82
Full.connection,1,4,2021,50,9,19,2,4,0,0,0,0,84
Full.connection,1,5,2021,32,9,15,5,4,0,0,0,0,65
Full.connection,1,6,2021,78,9,43,5,4,0,0,0,0,139
Full.connection,1,7,2021,40,8,27,12,2,0,0,0,0,89
Full.connection,1,8,2021,41,7,16,4,5,0,0,0,0,73
Full.connection,1,9,2021,51,10,50,4,2,2,0,0,0,119
Full.connection,2,1,2021,68,5,34,9,2,3,0,0,0,121
Full.connection,2,2,2021,20,4,20,2,2,1,0,0,0,49
Full.connection,2,3,2021,71,12,37,2,2,1,0,0,0,125
Full.connection,2,4,2021,47,7,26,11,1,1,0,0,0,93
Full.connection,2,5,2021,23,9,19,3,0,0,0,0,0,54
Full.connection,2,6,2021,49,14,67,9,1,3,0,0,0,143
Full.connection,2,7,2021,5,6,11,7,1,0,0,0,0,30
Full.connection,2,8,2021,27,22,23,12,1,2,0,0,0,87
Full.connection,2,9,2021,60,21,56,6,3,2,0,0,0,148
Full.connection,3,1,2021,81,14,42,10,3,1,0,0,0,153
Full.connection,3,2,2021,32,9,34,6,2,0,0,0,0,83
Full.connection,3,3,2021,72,13,21,3,2,2,0,0,0,113
Full.connection,3,4,2021,52,8,18,1,0,0,0,0,0,79
Full.connection,3,5,2021,23,4,9,5,0,0,0,0,0,41
Full.connection,3,6,2021,41,4,14,9,1,0,0,0,0,69
Full.connection,3,7,2021,64,5,25,4,1,0,0,0,0,100
Full.connection,3,8,2021,29,6,19,4,2,2,0,0,0,62
Full.connection,3,9,2021,24,15,7,4,2,0,0,0,0,52
Full.connection,4,1,2021,13,10,9,6,2,1,0,0,0,41
Full.connection,4,2,2021,23,12,13,6,1,0,0,0,0,55
Full.connection,4,3,2021,16,8,8,9,1,0,0,0,0,42
Full.connection,4,4,2021,48,11,31,4,4,2,0,0,0,100
Full.connection,4,5,2021,44,10,36,2,4,2,0,0,0,98
Full.connection,4,6,2021,26,17,14,3,2,0,0,0,0,62
Full.connection,4,7,2021,52,9,19,7,3,2,0,0,0,92
Full.connection,4,8,2021,47,28,19,3,4,3,0,0,0,104
Full.connection,4,9,2021,24,13,16,7,2,1,0,0,0,63
No.connection,1,1,2021,83,12,44,11,2,0,0,0,0,152
No.connection,1,2,2021,30,4,10,0,2,0,0,0,0,46
No.connection,1,3,2021,62,6,23,6,5,0,0,0,0,102
No.connection,1,4,2021,85,9,23,10,8,0,0,0,0,135
No.connection,1,5,2021,68,4,20,11,3,2,0,0,0,109
No.connection,1,6,2021,43,6,14,5,2,0,0,0,0,70
No.connection,1,7,2021,41,7,14,6,3,0,0,0,0,71
No.connection,1,8,2021,46,9,38,11,2,1,0,0,0,107
No.connection,1,9,2021,45,3,16,6,3,0,0,0,0,73
No.connection,2,1,2021,37,5,10,5,5,0,0,0,0,62
No.connection,2,2,2021,48,7,19,5,0,0,0,0,0,80
No.connection,2,3,2021,22,5,9,5,2,0,0,0,0,43
No.connection,2,4,2021,47,7,69,5,8,2,0,0,0,138
No.connection,2,5,2021,28,6,24,6,1,0,0,0,0,65
No.connection,2,6,2021,20,5,40,6,1,1,0,0,0,73
No.connection,2,7,2021,53,11,25,4,2,0,0,0,0,96
No.connection,2,8,2021,30,6,32,8,1,0,0,0,0,77
No.connection,2,9,2021,32,11,10,5,4,1,0,0,0,63
No.connection,3,1,2021,11,16,13,10,0,0,0,1,0,51
No.connection,3,2,2021,34,7,25,6,0,2,0,0,1,75
No.connection,3,3,2021,68,19,33,8,5,6,1,1,0,141
No.connection,3,4,2021,28,5,12,2,1,0,0,0,1,49
No.connection,3,5,2021,37,10,30,9,2,0,0,0,0,88
No.connection,3,6,2021,55,16,21,9,1,2,0,0,0,104
No.connection,3,7,2021,27,20,21,8,1,2,0,0,0,79
No.connection,3,8,2021,19,7,15,2,0,0,0,0,0,43
No.connection,3,9,2021,41,8,33,5,4,0,1,0,0,92
No.connection,4,1,2021,38,10,26,3,7,1,0,0,0,85
No.connection,4,2,2021,79,9,28,8,5,0,0,0,0,132
No.connection,4,3,2021,51,22,35,10,3,0,0,0,0,121
No.connection,4,4,2021,33,4,8,4,1,0,0,0,0,50
No.connection,4,5,2021,50,11,32,8,2,1,0,0,0,104
No.connection,4,6,2021,50,15,25,3,1,3,0,0,0,97
No.connection,4,7,2021,49,12,45,2,4,2,0,0,0,114
No.connection,4,8,2021,20,4,12,4,0,0,0,0,0,40
No.connection,4,9,2021,44,6,14,4,2,0,0,0,0,70
Partial.connection,1,1,2021,43,5,23,10,1,0,0,0,0,82
Partial.connection,1,2,2021,46,6,27,5,6,0,0,0,0,90
Partial.connection,1,3,2021,45,12,28,5,3,1,0,0,0,94
Partial.connection,1,4,2021,91,9,46,10,2,0,4,0,0,163
Partial.connection,1,5,2021,26,18,29,2,2,0,0,0,0,77
Partial.connection,1,6,2021,38,2,14,5,1,0,0,0,0,60
Partial.connection,1,7,2021,56,11,29,2,6,1,0,0,0,105
Partial.connection,1,8,2021,35,4,34,6,0,0,0,0,0,79
Partial.connection,1,9,2021,57,12,53,11,8,0,0,0,0,141
Partial.connection,2,1,2021,15,6,6,2,1,0,0,0,0,30
Partial.connection,2,2,2021,23,12,27,6,0,1,0,0,0,69
Partial.connection,2,3,2021,29,8,22,5,1,1,0,0,0,66
Partial.connection,2,4,2021,93,7,42,6,6,2,0,0,0,156
Partial.connection,2,5,2021,26,5,14,5,1,0,0,0,0,51
Partial.connection,2,6,2021,49,13,31,11,1,0,0,0,0,105
Partial.connection,2,7,2021,41,2,27,2,2,0,0,0,0,74
Partial.connection,2,8,2021,52,3,11,0,0,0,0,0,0,66
Partial.connection,2,9,2021,29,12,11,13,1,0,0,0,0,66
Partial.connection,3,1,2021,109,26,58,18,1,2,0,0,0,214
Partial.connection,3,2,2021,51,15,32,15,7,1,0,0,0,121
Partial.connection,3,3,2021,71,10,38,5,4,0,0,0,0,128
Partial.connection,3,4,2021,45,11,14,6,3,0,0,0,0,79
Partial.connection,3,5,2021,26,4,12,8,26,2,0,0,0,78
Partial.connection,3,6,2021,71,23,19,9,6,0,0,0,0,128
Partial.connection,3,7,2021,49,15,58,17,4,1,0,0,0,144
Partial.connection,3,8,2021,21,7,15,5,1,0,0,0,0,49
Partial.connection,3,9,2021,43,8,19,8,1,0,0,0,0,79
Partial.connection,4,1,2021,34,21,16,4,11,0,0,0,0,86
Partial.connection,4,2,2021,47,15,38,14,5,1,0,0,0,120
Partial.connection,4,3,2021,30,6,29,5,2,0,0,0,0,72
Partial.connection,4,4,2021,46,17,38,11,8,0,0,0,0,120
Partial.connection,4,5,2021,46,5,12,3,2,0,0,0,0,69
Partial.connection,4,6,2021,43,8,9,7,0,0,0,0,0,67
Partial.connection,4,7,2021,70,7,25,4,1,0,0,0,0,107
Partial.connection,4,8,2021,58,70,16,8,4,0,0,0,0,156
Partial.connection,4,9,2021,35,11,15,8,1,0,0,0,0,70
